17 0011_00 17 8 0.7917797
18 0011_00 18 8 0.94033813
19 0011_00 19 8 0.8780439
15 0011_00 15 9 0.7819598
16 0011_00 16 9 0.88708913
17 0011_00 17 9 0.78141063
18 0011_00 18 9 0.9397271
19 0011_00 19 9 0.892471
15 0011_00 15 10 0.7779974
16 0011_00 16 10 0.8883278
17 0011_00 17 10 0.7865306
18 0011_00 18 10 0.94248
19 0011_00 19 10 0.89533514
15 0011_00 15 11 0.7749175
16 0011_00 16 11 0.89119345
17 0011_00 17 11 0.79995936
18 0011_00 18 11 0.944778
19 0011_00 19 11 0.891359
15 0011_00 15 12 0.7910053
16 0011_00 16 12 0.88978714
17 0011_00 17 12 0.8148927
18 0011_00 18 12 0.9441214
19 0011_00 19 12 0.8803132
15 0011_00 15 13 0.7954397
16 0011_00 16 13 0.8928077
17 0011_00 17 13 0.8203157
18 0011_00 18 13 0.94330305
19 0011_00 19 13 0.8805359
15 0011_00 15 14 0.7973244
16 0011_00 16 14 0.8938341
17 0011_00 17 14 0.81898177
18 0011_00 18 14 0.9409974
19 0011_00 19 14 0.87936866
15 0011_00 15 15 0.80078894
16 0011_00 16 15 0.89304787
17 0011_00 17 15 0.82562804
18 0011_00 18 15 0.94213897
19 0011_00 19 15 0.8868606
15 0011_00 15 16 0.80764246
16 0011_00 16 16 0.89364356
17 0011_00 17 16 0.80719745
18 0011_00 18 16 0.94274735
19 0011_00 19 16 0.8773338
15 0011_00 15 17 0.8177049
16 0011_00 16 17 0.89175504
17 0011_00 17 17 0.82872117
18 0011_00 18 17 0.94382465
19 0011_00 19 17 0.8879
15 0011_00 15 18 0.81765085
16 0011_00 16 18 0.8933182
17 0011_00 17 18 0.81812394
18 0011_00 18 18 0.9454258
19 0011_00 19 18 0.8940638
15 0011_00 15 19 0.8182415
16 0011_00 16 19 0.89503264
17 0011_00 17 19 0.818785
18 0011_00 18 19 0.9486264
19 0011_00 19 19 0.8860182
15 0011_00 15 20 0.82239896
16 0011_00 16 20 0.8963765
17 0011_00 17 20 0.8246535
18 0011_00 18 20 0.9486543
19 0011_00 19 20 0.8834766
20 0011_00 20 0 0.0
21 0011_00 21 0 0.0
22 0011_00 22 0 0.0
23 0011_00 23 0 0.0
24 0011_00 24 0 0.0
20 0011_00 20 1 0.34888393
21 0011_00 21 1 0.5452638
22 0011_00 22 1 0.51872736
23 0011_00 23 1 0.51928574
24 0011_00 24 1 0.5264231
20 0011_00 20 2 0.5
21 0011_00 21 2 0.5682693
22 0011_00 22 2 0.77534246
23 0011_00 23 2 0.8555595
24 0011_00 24 2 0.7460342
20 0011_00 20 3 0.29552615
21 0011_00 21 3 0.605859
22 0011_00 22 3 0.82599217
23 0011_00 23 3 0.7053622
24 0011_00 24 3 0.7007299
20 0011_00 20 4 0.5470086
21 0011_00 21 4 0.6883415
22 0011_00 22 4 0.8415797
23 0011_00 23 4 0.8931255
24 0011_00 24 4 0.8079077
20 0011_00 20 5 0.5862485
21 0011_00 21 5 0.71815234
22 0011_00 22 5 0.84137
23 0011_00 23 5 0.91467065
24 0011_00 24 5 0.80715775
20 0011_00 20 6 0.69357145
21 0011_00 21 6 0.7344042
22 0011_00 22 6 0.82861
23 0011_00 23 6 0.93044937
24 0011_00 24 6 0.85363764
20 0011_00 20 7 0.68689984
21 0011_00 21 7 0.7697707
22 0011_00 22 7 0.832748
23 0011_00 23 7 0.93965197
24 0011_00 24 7 0.8702612
20 0011_00 20 8 0.784275
21 0011_00 21 8 0.78249365
22 0011_00 22 8 0.8382678
23 0011_00 23 8 0.9345027
24 0011_00 24 8 0.8853022
20 0011_00 20 9 0.7897774
21 0011_00 21 9 0.79095846
22 0011_00 22 9 0.79606766
